Type,Name,Header
Talk,T1,./generated_talks.html#t1-an-exocyst-component-zmexo70f4-coordinates-with-jasmonate-signaling-pathway-to-regulate-maize-immunity-to-gibberella-stalk-rot
Talk,T2,./generated_talks.html#t2-crazy-leaves-and-truffula-trees
Talk,T3,./generated_talks.html#t3-a-thiamin-pyrophosphate-kinase-encoding-gene-zmtdpk2-finely-regulates-ear-length-and-grain-yield-in-maize
Talk,T4,./generated_talks.html#t4-a-novel-domestication-gene-establishes-developmental-boundaries
Talk,T5,./generated_talks.html#t5-leaf-angle-and-curricular-innovation-a-cure-for-research-and-undergraduate
Talk,T6,"./generated_talks.html#t6-optimized-zmwox2a-based-transformation-system-enhances-somatic-embryogenesis,-transformation-efficiency-and-gene-editing-efficiency-in-maize-zea-mays-l-and-sorghum-sorghum-bicolor-l"
Talk,T7,./generated_talks.html#t7-harnessing-ai-for-agricultural-innovation
Talk,T8,./generated_talks.html#t8-a-practical-haplotype-graph-map-of-the-zeasynthetic-population-enables-integration-of-teosinte-alleles-into-breeding-efforts
Talk,T9,./generated_talks.html#t9-cyto-swapping-in-maize-by-haploid-induction-with-a-cenh3-mutant
Talk,T10,./generated_talks.html#t10-a-foundational-large-language-model-for-edible-plant-genomes-provides-accurate-predictions-of-regulatory-elements-and-gene-expression-in-the-maize-genome
Talk,T11,./generated_talks.html#t11-biological-nitrogen-gixation-on-the-aerial-roots-of-maize-for-sustainable-agriculture
Talk,T12,./generated_talks.html#t12-decoding-nitrogen-use-efficiency-in-maize-and-sorghum-insights-from-comparative-gene-regulatory-networks-for-sustainable-agriculture
Talk,T13,./generated_talks.html#t13-the-nitrogen-cycle-in-the-rhizosphere-of-diverse-grass-species-in-andropogoneae
Talk,T14,./generated_talks.html#t14-genomic-structural-variation-underlies-differential-root-responses-to-nitrogen-stress-in-maize
Talk,T15,./generated_talks.html#t15-mining-ancient-genomes-for-microbiome-associated-phenotypes-for-nutrient-retention-in-agroecosystems
Talk,T16,./generated_talks.html#t16-teosinte-pollen-drive-guides-maize-diversification-and-domestication-by-rnai
Talk,T17,./generated_talks.html#t17-how-recombination-facilitated-the-domestication-of-maize
